,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4310397, 'Male', '8 weeks', 'distance (mm)')",Distance,2115.308288,Rbmb6 HD:WT,8 weeks,4310397,Male,day_one
"(4310398, 'Male', '13 weeks', 'Climbing')",Climbing,4.128,Rbmb6 HD:Het,13 weeks,4310398,Male,day_one
"(4310398, 'Male', '13 weeks', 'distance (mm)')",Distance,4617.225667,Rbmb6 HD:Het,13 weeks,4310398,Male,day_one
"(4310398, 'Male', '15-16 weeks', 'Climbing')",Climbing,5.952,Rbmb6 HD:Het,15-16 weeks,4310398,Male,day_one
"(4310398, 'Male', '15-16 weeks', 'distance (mm)')",Distance,1956.612816,Rbmb6 HD:Het,15-16 weeks,4310398,Male,day_one
"(4310398, 'Male', '8 weeks', 'Climbing')",Climbing,64.456,Rbmb6 HD:Het,8 weeks,4310398,Male,day_one
"(4310398, 'Male', '8 weeks', 'distance (mm)')",Distance,6046.127978,Rbmb6 HD:Het,8 weeks,4310398,Male,day_one
"(4310410, 'Female', '13 weeks', 'Climbing')",Climbing,87.744,Rbmb6 HD:WT,13 weeks,4310410,Female,day_one
"(4310410, 'Female', '13 weeks', 'distance (mm)')",Distance,6042.465259,Rbmb6 HD:WT,13 weeks,4310410,Female,day_one
"(4310410, 'Female', '15-16 weeks', 'Climbing')",Climbing,20.544,Rbmb6 HD:WT,15-16 weeks,4310410,Female,day_one
"(4310410, 'Female', '15-16 weeks', 'distance (mm)')",Distance,4008.365517,Rbmb6 HD:WT,15-16 weeks,4310410,Female,day_one
"(4310410, 'Female', '8 weeks', 'Climbing')",Climbing,100.32,Rbmb6 HD:WT,8 weeks,4310410,Female,day_one
"(4310410, 'Female', '8 weeks', 'distance (mm)')",Distance,3350.143044,Rbmb6 HD:WT,8 weeks,4310410,Female,day_one
"(4311405, 'Female', '13 weeks', 'Climbing')",Climbing,19.536,Rbmb6 HD:Het,13 weeks,4311405,Female,day_one
"(4311405, 'Female', '13 weeks', 'distance (mm)')",Distance,4843.401761,Rbmb6 HD:Het,13 weeks,4311405,Female,day_one
"(4311405, 'Female', '15-16 weeks', 'Climbing')",Climbing,53.856,Rbmb6 HD:Het,15-16 weeks,4311405,Female,day_one
"(4311405, 'Female', '15-16 weeks', 'distance (mm)')",Distance,6172.632573,Rbmb6 HD:Het,15-16 weeks,4311405,Female,day_one
"(4311405, 'Female', '8 weeks', 'Climbing')",Climbing,122.528,Rbmb6 HD:Het,8 weeks,4311405,Female,day_one
"(4311405, 'Female', '8 weeks', 'distance (mm)')",Distance,8883.130812,Rbmb6 HD:Het,8 weeks,4311405,Female,day_one
"(4311406, 'Male', '15-16 weeks', 'Climbing')",Climbing,0.096,Rbmb6 HD:Het,15-16 weeks,4311406,Male,day_one
"(4311406, 'Male', '15-16 weeks', 'distance (mm)')",Distance,1420.396271,Rbmb6 HD:Het,15-16 weeks,4311406,Male,day_one
"(4311406, 'Male', '8 weeks', 'Climbing')",Climbing,32.784,Rbmb6 HD:Het,8 weeks,4311406,Male,day_one
"(4311406, 'Male', '8 weeks', 'distance (mm)')",Distance,6135.956604,Rbmb6 HD:Het,8 weeks,4311406,Male,day_one
"(4311407, 'Male', '13 weeks', 'Climbing')",Climbing,18.584,Rbmb6 HD:WT,13 weeks,4311407,Male,day_one
"(4311407, 'Male', '13 weeks', 'distance (mm)')",Distance,4224.448383,Rbmb6 HD:WT,13 weeks,4311407,Male,day_one
"(4311407, 'Male', '15-16 weeks', 'Climbing')",Climbing,57.512,Rbmb6 HD:WT,15-16 weeks,4311407,Male,day_one
"(4311407, 'Male', '15-16 weeks', 'distance (mm)')",Distance,10901.32915,Rbmb6 HD:WT,15-16 weeks,4311407,Male,day_one
"(4311407, 'Male', '8 weeks', 'Climbing')",Climbing,21.168,Rbmb6 HD:WT,8 weeks,4311407,Male,day_one
