,Action,value,Genotype,Age,Cage,Period,Sex,timepoint
"(4246781, 'Climbing', 'Light', '7 months')",Climbing,4.317818182,C57BL6/J,7 months,4246781,Light,Female,day_one
"(4246781, 'distance (mm)', 'Dark', '12 months')",Distance,3885.098587,C57BL6/J,12 months,4246781,Dark,Female,day_one
"(4246781, 'distance (mm)', 'Dark', '7 months')",Distance,8416.823636,C57BL6/J,7 months,4246781,Dark,Female,day_one
"(4246781, 'distance (mm)', 'Light', '12 months')",Distance,1710.635432,C57BL6/J,12 months,4246781,Light,Female,day_one
"(4246781, 'distance (mm)', 'Light', '7 months')",Distance,1176.244246,C57BL6/J,7 months,4246781,Light,Female,day_one
"(4246787, 'Climbing', 'Dark', '3 months')",Climbing,165.328,C57BL6/J,3 months,4246787,Dark,Female,day_one
"(4246787, 'Climbing', 'Light', '3 months')",Climbing,4.269818182,C57BL6/J,3 months,4246787,Light,Female,day_one
"(4246787, 'distance (mm)', 'Dark', '3 months')",Distance,8947.850906,C57BL6/J,3 months,4246787,Dark,Female,day_one
"(4246787, 'distance (mm)', 'Light', '3 months')",Distance,1084.827557,C57BL6/J,3 months,4246787,Light,Female,day_one
"(4186074, 'Climbing', 'Dark', '12 months')",Climbing,24.472,C57BL6/J,12 months,4186074,Dark,Male,day_two
"(4186074, 'Climbing', 'Dark', '3 months')",Climbing,6.544,C57BL6/J,3 months,4186074,Dark,Male,day_two
"(4186074, 'Climbing', 'Dark', '7 months')",Climbing,7.382,C57BL6/J,7 months,4186074,Dark,Male,day_two
"(4186074, 'Climbing', 'Light', '12 months')",Climbing,15.378,C57BL6/J,12 months,4186074,Light,Male,day_two
"(4186074, 'Climbing', 'Light', '3 months')",Climbing,2.472,C57BL6/J,3 months,4186074,Light,Male,day_two
"(4186074, 'Climbing', 'Light', '7 months')",Climbing,1.832,C57BL6/J,7 months,4186074,Light,Male,day_two
"(4186074, 'distance (mm)', 'Dark', '12 months')",Distance,4226.898868,C57BL6/J,12 months,4186074,Dark,Male,day_two
"(4186074, 'distance (mm)', 'Dark', '3 months')",Distance,3308.398779,C57BL6/J,3 months,4186074,Dark,Male,day_two
"(4186074, 'distance (mm)', 'Dark', '7 months')",Distance,3807.26675,C57BL6/J,7 months,4186074,Dark,Male,day_two
"(4186074, 'distance (mm)', 'Light', '12 months')",Distance,1484.249012,C57BL6/J,12 months,4186074,Light,Male,day_two
"(4186074, 'distance (mm)', 'Light', '3 months')",Distance,1504.265578,C57BL6/J,3 months,4186074,Light,Male,day_two
"(4186074, 'distance (mm)', 'Light', '7 months')",Distance,1915.837835,C57BL6/J,7 months,4186074,Light,Male,day_two
"(4186084, 'Climbing', 'Dark', '12 months')",Climbing,6.69,C57BL6/J,12 months,4186084,Dark,Male,day_two
"(4186084, 'Climbing', 'Dark', '3 months')",Climbing,6.326,C57BL6/J,3 months,4186084,Dark,Male,day_two
"(4186084, 'Climbing', 'Dark', '7 months')",Climbing,6.744,C57BL6/J,7 months,4186084,Dark,Male,day_two
"(4186084, 'Climbing', 'Light', '12 months')",Climbing,1.938,C57BL6/J,12 months,4186084,Light,Male,day_two
"(4186084, 'Climbing', 'Light', '3 months')",Climbing,1.46,C57BL6/J,3 months,4186084,Light,Male,day_two
"(4186084, 'Climbing', 'Light', '7 months')",Climbing,2.55,C57BL6/J,7 months,4186084,Light,Male,day_two
"(4186084, 'distance (mm)', 'Dark', '12 months')",Distance,2877.454497,C57BL6/J,12 months,4186084,Dark,Male,day_two
"(4186084, 'distance (mm)', 'Dark', '3 months')",Distance,2912.644675,C57BL6/J,3 months,4186084,Dark,Male,day_two
"(4186084, 'distance (mm)', 'Dark', '7 months')",Distance,4207.899934,C57BL6/J,7 months,4186084,Dark,Male,day_two
"(4186084, 'distance (mm)', 'Light', '12 months')",Distance,1195.055663,C57BL6/J,12 months,4186084,Light,Male,day_two
"(4186084, 'distance (mm)', 'Light', '3 months')",Distance,1523.13342,C57BL6/J,3 months,4186084,Light,Male,day_two
"(4186084, 'distance (mm)', 'Light', '7 months')",Distance,1365.74626,C57BL6/J,7 months,4186084,Light,Male,day_two
"(4187459, 'Climbing', 'Dark', '12 months')",Climbing,2.122,C57BL6/J,12 months,4187459,Dark,Male,day_two
"(4187459, 'Climbing', 'Dark', '3 months')",Climbing,15.068,C57BL6/J,3 months,4187459,Dark,Male,day_two
"(4187459, 'Climbing', 'Dark', '7 months')",Climbing,6.988,C57BL6/J,7 months,4187459,Dark,Male,day_two
"(4187459, 'Climbing', 'Light', '12 months')",Climbing,1.048,C57BL6/J,12 months,4187459,Light,Male,day_two
"(4187459, 'Climbing', 'Light', '3 months')",Climbing,0.702,C57BL6/J,3 months,4187459,Light,Male,day_two
"(4187459, 'Climbing', 'Light', '7 months')",Climbing,0.554,C57BL6/J,7 months,4187459,Light,Male,day_two
"(4187459, 'distance (mm)', 'Dark', '12 months')",Distance,2372.171982,C57BL6/J,12 months,4187459,Dark,Male,day_two
"(4187459, 'distance (mm)', 'Dark', '3 months')",Distance,3386.969086,C57BL6/J,3 months,4187459,Dark,Male,day_two
"(4187459, 'distance (mm)', 'Dark', '7 months')",Distance,2278.713327,C57BL6/J,7 months,4187459,Dark,Male,day_two
"(4187459, 'distance (mm)', 'Light', '12 months')",Distance,1310.367113,C57BL6/J,12 months,4187459,Light,Male,day_two
"(4187459, 'distance (mm)', 'Light', '3 months')",Distance,1069.793371,C57BL6/J,3 months,4187459,Light,Male,day_two
"(4187459, 'distance (mm)', 'Light', '7 months')",Distance,1070.330267,C57BL6/J,7 months,4187459,Light,Male,day_two
"(4187463, 'Climbing', 'Dark', '12 months')",Climbing,9.230666667,C57BL6/J,12 months,4187463,Dark,Male,day_two
"(4187463, 'Climbing', 'Dark', '3 months')",Climbing,22.446,C57BL6/J,3 months,4187463,Dark,Male,day_two
"(4187463, 'Climbing', 'Dark', '7 months')",Climbing,21.33066667,C57BL6/J,7 months,4187463,Dark,Male,day_two
"(4187463, 'Climbing', 'Light', '12 months')",Climbing,0.907333333,C57BL6/J,12 months,4187463,Light,Male,day_two
"(4187463, 'Climbing', 'Light', '3 months')",Climbing,6.458,C57BL6/J,3 months,4187463,Light,Male,day_two
"(4187463, 'Climbing', 'Light', '7 months')",Climbing,18.39533333,C57BL6/J,7 months,4187463,Light,Male,day_two
"(4187463, 'distance (mm)', 'Dark', '12 months')",Distance,3362.527619,C57BL6/J,12 months,4187463,Dark,Male,day_two
"(4187463, 'distance (mm)', 'Dark', '3 months')",Distance,4086.548665,C57BL6/J,3 months,4187463,Dark,Male,day_two
"(4187463, 'distance (mm)', 'Dark', '7 months')",Distance,3715.000919,C57BL6/J,7 months,4187463,Dark,Male,day_two
"(4187463, 'distance (mm)', 'Light', '12 months')",Distance,1418.800031,C57BL6/J,12 months,4187463,Light,Male,day_two
"(4187463, 'distance (mm)', 'Light', '3 months')",Distance,1473.674275,C57BL6/J,3 months,4187463,Light,Male,day_two
"(4187463, 'distance (mm)', 'Light', '7 months')",Distance,1736.720728,C57BL6/J,7 months,4187463,Light,Male,day_two
"(4188123, 'Climbing', 'Dark', '12 months')",Climbing,10.162,C57BL6/J,12 months,4188123,Dark,Male,day_two
"(4188123, 'Climbing', 'Dark', '3 months')",Climbing,9.456,C57BL6/J,3 months,4188123,Dark,Male,day_two
"(4188123, 'Climbing', 'Dark', '7 months')",Climbing,8.78,C57BL6/J,7 months,4188123,Dark,Male,day_two
"(4188123, 'Climbing', 'Light', '12 months')",Climbing,4.758,C57BL6/J,12 months,4188123,Light,Male,day_two
