,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4310410, 'Female', '13 weeks', 'distance (mm)')",Distance,8371.48739,Rbmb6 HD:WT,13 weeks,4310410,Female,day_one
"(4310410, 'Female', '15-16 weeks', 'Climbing')",Climbing,94.032,Rbmb6 HD:WT,15-16 weeks,4310410,Female,day_one
"(4310410, 'Female', '15-16 weeks', 'distance (mm)')",Distance,15559.13164,Rbmb6 HD:WT,15-16 weeks,4310410,Female,day_one
"(4310410, 'Female', '8 weeks', 'Climbing')",Climbing,143.28,Rbmb6 HD:WT,8 weeks,4310410,Female,day_one
"(4310410, 'Female', '8 weeks', 'distance (mm)')",Distance,5862.933856,Rbmb6 HD:WT,8 weeks,4310410,Female,day_one
"(4311405, 'Female', '13 weeks', 'Climbing')",Climbing,1.344,Rbmb6 HD:Het,13 weeks,4311405,Female,day_one
"(4311405, 'Female', '13 weeks', 'distance (mm)')",Distance,1872.679636,Rbmb6 HD:Het,13 weeks,4311405,Female,day_one
"(4311405, 'Female', '15-16 weeks', 'Climbing')",Climbing,0.336,Rbmb6 HD:Het,15-16 weeks,4311405,Female,day_one
"(4311405, 'Female', '15-16 weeks', 'distance (mm)')",Distance,904.132595,Rbmb6 HD:Het,15-16 weeks,4311405,Female,day_one
"(4311405, 'Female', '8 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,8 weeks,4311405,Female,day_one
"(4311405, 'Female', '8 weeks', 'distance (mm)')",Distance,1030.401399,Rbmb6 HD:Het,8 weeks,4311405,Female,day_one
"(4311406, 'Male', '15-16 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,15-16 weeks,4311406,Male,day_one
"(4311406, 'Male', '15-16 weeks', 'distance (mm)')",Distance,20.00010414,Rbmb6 HD:Het,15-16 weeks,4311406,Male,day_one
"(4311406, 'Male', '8 weeks', 'Climbing')",Climbing,0.672,Rbmb6 HD:Het,8 weeks,4311406,Male,day_one
"(4311406, 'Male', '8 weeks', 'distance (mm)')",Distance,2513.159431,Rbmb6 HD:Het,8 weeks,4311406,Male,day_one
